Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Autivora Drive — Cold-Air Car Diffuser,autivora-drive,"<p>Your car should smell like your taste, not a gas-station tree. <strong>Autivora Drive</strong> uses waterless cold-air nebulization to turn pure fragrance oil into a fine, even mist — no heat, no water, no diluted scent.</p><ul><li><strong>Up to 24h</strong> on a charge, USB-C rechargeable</li><li><strong>3 intensity levels</strong> + 1/2/4-hour timers</li><li>Fits standard cup holders — 4"" tall</li><li>Whisper-quiet, waterless cold-air diffusion</li></ul><p>Pairs with any Autivora Fragrance Oil.</p>",Autivora,,Car Diffuser,"car, waterless, nebulizing, usb-c, cold-air, car-diffusers",TRUE,Active,AV-DRIVE-01,,Title,Default Title,,,,,,,,59.00,79.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Autivora Drive | Waterless Cold-Air Car Diffuser (USB-C),"Turn your cabin into a signature scent. The Autivora Drive nebulizes pure fragrance oil — no water, no heat — with up to 24h battery, USB-C charging, and 3 intensity levels. Fits any cup holder.",,,,,,,,,,,,,,
Autivora Drive Mini — Portable Car Diffuser,autivora-drive-mini,"<p><strong>Autivora Drive Mini</strong> brings waterless cold-air scenting to any cabin in a compact, vent-ready form. USB-C rechargeable, two intensity levels, pure-oil nebulization.</p><ul><li>Up to 12h battery, USB-C</li><li>2 intensity levels</li><li>Compact, vent-clip friendly</li></ul>",Autivora,,Car Diffuser,"car, portable, waterless, usb-c, entry, car-diffusers",TRUE,Active,AV-DRIVE-MINI-01,,Title,Default Title,,,,,,,,34.00,44.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Autivora Drive Mini | Compact Waterless Car Diffuser,"The entry into cold-air car scenting. Compact, USB-C rechargeable, waterless nebulizing diffuser. Pure fragrance, no water, no heat. Perfect first device or gift.",,,,,,,,,,,,,,
Autivora Home — Whole-House HVAC Diffuser,autivora-home,"<p><strong>Autivora Home</strong> turns your whole house into a signature scent environment. Cold-air nebulization pushes a fine, even fragrance through your space — or straight into your HVAC — with no water, no heat, and no aerosol propellant.</p><ul><li><strong>Up to 5,000 sq ft</strong> coverage</li><li><strong>Wi-Fi + Bluetooth app</strong> — schedule intensity by room, time, or season</li><li>1,000ml capacity for weeks of runtime</li><li>Standalone or HVAC-connected — no ductwork changes</li><li>Premium metal housing</li></ul>",Autivora,,Home Diffuser,"home, hvac, wifi, waterless, whole-house, cold-air, home-diffusers",TRUE,Active,AV-HOME-01,,Title,Default Title,,,,,,,,199.00,269.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,"Autivora Home | Whole-House HVAC Scent Diffuser (5,000 sq ft)","Scent your whole home from one device. Autivora Home covers up to 5,000 sq ft with waterless cold-air diffusion, Wi-Fi app scheduling, and HVAC-ready install. No water, no heat, no aerosols.",,,,,,,,,,,,,,
Autivora Home Room — Large-Room Diffuser,autivora-home-room,"<p><strong>Autivora Home Room</strong> delivers whole-room cold-air scenting without plumbing into your HVAC. Standalone, quiet, and Bluetooth-controlled for spaces up to 1,500 sq ft.</p><ul><li>Up to 1,500 sq ft</li><li>300ml capacity</li><li>Touch + Bluetooth control</li><li>Waterless cold-air nebulization</li></ul>",Autivora,,Home Diffuser,"home, room, waterless, cold-air, standalone, home-diffusers",TRUE,Active,AV-HOME-ROOM-01,,Title,Default Title,,,,,,,,109.00,149.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,"Autivora Home Room | Large-Room Cold-Air Diffuser (1,500 sq ft)","Standalone cold-air diffuser for living rooms, suites, and open spaces up to 1,500 sq ft. Waterless, quiet, Bluetooth-controlled. Pure fragrance oil, no water.",,,,,,,,,,,,,,
Autivora Pro — Commercial Scent System,autivora-pro,"<p><strong>Autivora Pro</strong> is built for square footage retail diffusers can't touch — hotels, gyms, showrooms, lobbies and facilities. Commercial-grade cold-air nebulization fills 10,000+ sq ft with consistent, even scent, 24/7.</p><ul><li><strong>10,000+ sq ft</strong> coverage</li><li>1,500ml tank for continuous operation</li><li>App + touchscreen, multi-zone scheduling</li><li>HVAC-connectable, wall-mount or standalone</li></ul><p>Need a larger footprint or multi-unit install? <a href=""/pages/contact"">Request a quote</a>.</p>",Autivora,,Commercial Diffuser,"commercial, industrial, hvac, hotel, gym, cold-air, high-capacity, commercial-industrial",TRUE,Active,AV-PRO-01,,Title,Default Title,,,,,,,,549.00,699.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Autivora Pro | Commercial & Industrial HVAC Scent System,"Scent marketing at scale. Autivora Pro covers 10,000+ sq ft for hotels, gyms, showrooms and facilities — waterless cold-air, 1,500ml tank, app + touchscreen scheduling, 24/7 operation.",,,,,,,,,,,,,,
Autivora Clip — Refillable Metal Car Diffuser,autivora-clip,"<p><strong>Autivora Clip</strong> is the everyday companion to your diffuser — a weighted metal vent clip you refill with Autivora oil instead of throwing away. No battery, no cords, just adjustable, all-day scent.</p><ul><li>Solid aluminum / zinc-alloy build</li><li>Refillable — 30–90 days per refill, zero waste</li><li>Adjustable airflow intensity</li><li>Clips to any standard car vent</li></ul><p>Refill it with any <a href=""/collections/fragrance-oils"">Autivora Fragrance Oil</a>.</p>",Autivora,,Car Accessory,"car, accessory, vent-clip, refillable, metal, car-accessories",TRUE,Active,AV-CLIP-01,,Title,Default Title,,,,,,,,24.00,34.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Autivora Clip | Refillable Metal Car Vent Diffuser,"A solid-metal, refillable vent clip that carries your Autivora scent through the cabin — no battery, no waste. Adjustable intensity, 30–90 days per refill. Pairs with any Autivora oil.",,,,,,,,,,,,,,
Autivora for Business — Custom-Logo Leather Car Diffuser,autivora-business-leather-clip,"<p><strong>Autivora for Business — Leather Edition.</strong> A premium lambskin-wrapped car diffuser embossed with your logo. The drive-away gift that keeps your brand in the cabin for months.</p><ul><li>Genuine / premium leather wrap, your logo embossed</li><li>Refillable scent insert — recurring brand impressions</li><li>Dealerships, hotels, real-estate closings, corporate gifting</li><li>From ~50 units · ~2–3 week lead time</li></ul><p><strong>Pricing shown is indicative per-unit at volume.</strong> <a href=""/pages/contact"">Request a bulk quote</a> for your logo and quantity.</p>",Autivora,,Business / Custom,"b2b, custom-logo, leather, gifting, wholesale, dealership, business",TRUE,Active,AV-BIZ-LEATHER-01,,Title,Default Title,,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Custom-Logo Leather Car Air Freshener | Autivora for Business,"Premium leather car diffusers branded with your logo — for dealerships, hotels, and corporate gifts. Refillable, customizable, ordered at volume. Request a bulk quote.",,,,,,,,,,,,,,
Autivora for Business — Custom-Logo Air Fresheners (Bulk),autivora-business-custom-freshener,"<p><strong>Autivora for Business — Custom Fresheners.</strong> Die-cut, double-sided, full-color air fresheners printed with your logo or QR code. The cheapest brand impression that rides along for weeks.</p><ul><li>Die-cut to your logo or any shape</li><li>50+ Autivora fragrances</li><li>Low minimums (~50) · ~5–8 day turnaround</li><li>Dealerships, events, real estate, promotions</li></ul><p><strong>Pricing shown is indicative per-unit at volume.</strong> <a href=""/pages/contact"">Request a bulk quote</a>.</p>",Autivora,,Business / Custom,"b2b, custom-logo, bulk, promotional, wholesale, business",TRUE,Active,AV-BIZ-BULK-01,,Title,Default Title,,,,,,,,2.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Custom Logo Car Air Fresheners in Bulk | Autivora for Business,"Personalized car air fresheners printed with your logo — die-cut to any shape, 50+ scents, low minimums. Perfect for dealerships, events, and promo. Get a bulk quote.",,,,,,,,,,,,,,
Coastal Linen — Cold-Air Fragrance Oil,oil-coastal-linen,"<p><strong>Coastal Linen</strong> — Sea salt, white musk, cotton. Clean sea-salt and white-musk fragrance oil. Fresh, airy, waterless cold-air diffusion for car & home. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-fresh",TRUE,Active,AV-OIL-COASTAL-LINEN-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Coastal Linen | Cold-Air Fragrance Oil for Car & Home | Autivora,"Clean sea-salt and white-musk fragrance oil. Fresh, airy, waterless cold-air diffusion for car & home.",,,,,,,,,,,,,,
,oil-coastal-linen,,,,,,,,AV-OIL-COASTAL-LINEN-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
White Tea & Cedar — Cold-Air Fragrance Oil,oil-white-tea-cedar,"<p><strong>White Tea & Cedar</strong> — White tea, cedar, light citrus. Soft white tea and cedar fragrance oil. Hotel-clean, waterless cold-air scent for car, home & commercial. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-fresh",TRUE,Active,AV-OIL-WHITE-TEA-CEDAR-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,White Tea & Cedar | Cold-Air Fragrance Oil for Car & Home | Autivora,"Soft white tea and cedar fragrance oil. Hotel-clean, waterless cold-air scent for car, home & commercial.",,,,,,,,,,,,,,
,oil-white-tea-cedar,,,,,,,,AV-OIL-WHITE-TEA-CEDAR-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Cloud Cotton — Cold-Air Fragrance Oil,oil-cloud-cotton,"<p><strong>Cloud Cotton</strong> — Fresh cotton, aldehydes, soft musk. Laundry-fresh cotton and soft musk fragrance oil for cold-air diffusers. Light, comforting, water-free. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-fresh",TRUE,Active,AV-OIL-CLOUD-COTTON-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Cloud Cotton | Cold-Air Fragrance Oil for Car & Home | Autivora,"Laundry-fresh cotton and soft musk fragrance oil for cold-air diffusers. Light, comforting, water-free.",,,,,,,,,,,,,,
,oil-cloud-cotton,,,,,,,,AV-OIL-CLOUD-COTTON-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
